,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
3183,Average Loan Amount,21.0,14.0,4.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2119,7,Self_Employed,yes,normal,2,3,flat,Kuala Lumpur,8,35.27494001629708,Reject
3184,High Loan Amount,14.0,15.0,2.0,2.0,2.0,11.0,2.0,Low Salary,Average Sum of Loan,High Income for Join Application,1136,6,Fresh_Graduate,no,normal,3,2,flat,Kuala Lumpur,6,29.742304155075093,Reject
3185,High Loan Amount,20.0,14.0,2.0,2.0,5.0,11.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2342,6,Fresh_Graduate,no,platinum,3,2,terrace,Kuala Lumpur,7,35.0,Reject
3186,Average Loan Amount,13.0,14.0,3.0,2.0,1.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,2188,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,6,27.461373449004093,Reject
3187,Average Loan Amount,14.0,11.0,5.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,1892,5,Fresh_Graduate,no,normal,6,1,terrace,N.Sembilan,6,26.0,Reject
3188,Average Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,449,3,government,no,normal,2,2,condominium,Selangor,7,28.085354224210825,Reject
3189,Average Loan Amount,20.0,19.0,4.0,3.0,4.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,1974,7,Fresh_Graduate,no,normal,6,1,condominium,Terengganu,7,39.86520714465425,Reject
3190,High Loan Amount,23.0,14.0,3.0,2.0,1.0,10.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,2113,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,8,37.93273074047625,Reject
3191,Low Loan Amount,18.0,17.0,3.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,1589,6,Self_Employed,yes,normal,5,1,bungalow,Penang,6,35.17647015446963,Reject
3192,High Loan Amount,19.0,14.0,4.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,915,7,Self_Employed,no,normal,2,1,terrace,Kuala Lumpur,8,33.438063320413555,Reject
3193,High Loan Amount,17.0,15.0,3.0,2.0,1.0,12.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,1453,3,government,no,normal,4,2,bungalow,Penang,9,33.451004603135054,Reject
3194,Low Loan Amount,13.0,14.0,3.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,1508,6,Self_Employed,no,normal,5,3,bungalow,Penang,8,27.574516222266496,Reject
3195,High Loan Amount,22.0,15.0,2.0,2.0,4.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,2297,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,9,37.58240592614741,Reject
3196,Average Loan Amount,20.0,19.0,5.0,2.0,4.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,1891,5,Fresh_Graduate,no,normal,6,2,terrace,N.Sembilan,6,39.0,Reject
3197,Average Loan Amount,16.0,17.0,3.0,2.0,1.0,13.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,1737,7,employee,no,normal,5,3,terrace,Kuala Lumpur,9,34.0,Reject
3198,Average Loan Amount,11.0,14.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,941,7,Self_Employed,yes,normal,2,2,terrace,Kuala Lumpur,6,25.95259434363021,Reject
3199,Average Loan Amount,19.0,19.0,5.0,2.0,4.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,1889,5,Fresh_Graduate,no,normal,6,2,terrace,N.Sembilan,6,38.90559505520259,Reject
3200,Average Loan Amount,20.0,19.0,4.0,2.0,4.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,1889,5,Fresh_Graduate,no,normal,6,2,terrace,N.Sembilan,8,39.174799232584434,Reject
3201,Average Loan Amount,12.0,14.0,4.0,2.0,1.0,11.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,899,6,employee,yes,normal,2,1,terrace,Kuala Lumpur,9,26.669544913319683,Reject
3202,High Loan Amount,10.0,19.0,6.0,2.0,4.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,1984,7,Fresh_Graduate,no,normal,6,2,condominium,Kedah,7,29.365285733375824,Reject
3203,Low Loan Amount,18.0,15.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,58,1,employer,no,normal,2,2,condominium,Johor,9,33.478234023048074,Reject
3204,High Loan Amount,16.0,15.0,2.0,2.0,5.0,11.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2338,6,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,7,31.048860438774007,Reject
3205,Low Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,17,1,employer,yes,gold,2,1,condominium,Johor,7,19.46510271673076,Reject
3206,High Loan Amount,16.0,7.0,5.0,2.0,1.0,11.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,268,2,Self_Employed,yes,gold,2,2,condominium,Johor,8,24.0,Reject
3207,High Loan Amount,19.0,13.0,4.0,2.0,1.0,13.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,846,5,employee,no,normal,2,2,terrace,Kuala Lumpur,7,32.43706541330185,Reject
3208,Low Loan Amount,13.0,15.0,2.0,2.0,5.0,11.0,2.0,High Salary,Average Sum of Loan,High Income for Join Application,2304,6,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,7,28.610175260621975,Reject
3209,Low Loan Amount,19.0,15.0,3.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,1040,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,8,34.594290750561775,Reject
3210,High Loan Amount,22.0,15.0,3.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,1684,4,employee,no,normal,5,2,terrace,Johor,6,37.12710165223268,Reject
3211,Average Loan Amount,20.0,10.0,2.0,2.0,1.0,12.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,541,6,Self_Employed,yes,normal,2,2,condominium,Selangor,7,30.00884154078434,Reject
3212,Average Loan Amount,16.0,17.0,3.0,2.0,2.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,1533,6,Self_Employed,no,normal,5,2,bungalow,Penang,8,33.0,Reject
3213,High Loan Amount,18.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,1025,1,Fresh_Graduate,no,normal,3,2,bungalow,Kuala Lumpur,8,33.03985953714114,Reject
3214,High Loan Amount,14.0,17.0,4.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,1419,3,government,no,normal,4,1,bungalow,Penang,6,31.00099751836147,Reject
3215,Low Loan Amount,14.0,15.0,2.0,2.0,2.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,2226,1,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,9,29.964624380773486,Reject
3216,Average Loan Amount,22.0,7.0,4.0,2.0,2.0,11.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,228,2,Self_Employed,no,normal,2,2,condominium,Johor,8,29.79489367231427,Reject
3217,High Loan Amount,13.0,9.0,2.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,549,6,Self_Employed,yes,normal,2,2,condominium,Selangor,7,23.36479821914453,Reject
3218,Low Loan Amount,15.0,5.0,2.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,18,1,employer,yes,normal,2,2,condominium,Johor,6,20.227078317681705,Reject
3219,Low Loan Amount,14.0,11.0,5.0,2.0,3.0,10.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,603,4,employee,yes,normal,2,1,condominium,Selangor,9,25.564441090678883,Reject
3220,Average Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,441,3,government,no,gold,2,1,condominium,Selangor,6,28.383564911183722,Reject
3221,Low Loan Amount,18.0,9.0,5.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,394,6,government,no,normal,2,1,condominium,Selangor,7,27.635266051996435,Reject
3222,Low Loan Amount,12.0,5.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,12,1,employer,yes,normal,2,1,condominium,Johor,8,17.96920317403773,Reject
3223,Average Loan Amount,20.0,18.0,3.0,2.0,1.0,11.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,1760,7,employee,no,gold,6,3,terrace,Kuala Lumpur,9,38.24574645565614,Reject
3224,Low Loan Amount,16.0,7.0,6.0,2.0,2.0,11.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,293,2,Self_Employed,no,gold,2,2,condominium,Johor,6,23.575479762668287,Reject
3225,Average Loan Amount,14.0,14.0,3.0,2.0,2.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2199,5,Self_Employed,yes,normal,2,1,flat,Kuala Lumpur,9,28.594710096473676,Reject
3226,Average Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,440,3,government,no,normal,2,1,condominium,Selangor,6,28.860674355017842,Reject
3227,Low Loan Amount,21.0,15.0,3.0,2.0,5.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,2218,1,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,7,36.48800572435,Reject
3228,Average Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,3.0,Low Salary,Average Sum of Loan,Average Income for Join Application,1066,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,6,36.07462981433708,Reject
3229,Average Loan Amount,18.0,12.0,4.0,2.0,3.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,741,6,employee,yes,normal,2,1,condominium,Kuala Lumpur,9,30.21730395925585,Reject
3230,Average Loan Amount,22.0,13.0,4.0,2.0,1.0,13.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,839,5,employee,yes,normal,2,2,terrace,Kuala Lumpur,8,35.469225181623614,Reject
3231,Average Loan Amount,11.0,13.0,3.0,2.0,2.0,13.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,835,5,employee,yes,normal,2,1,terrace,Kuala Lumpur,8,24.06659832710749,Reject
3232,Low Loan Amount,15.0,15.0,4.0,4.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,1331,7,government,no,normal,4,1,bungalow,Penang,9,31.074854166707958,Reject
3233,Low Loan Amount,17.0,12.0,4.0,2.0,3.0,10.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,768,6,employee,yes,normal,2,1,condominium,Kuala Lumpur,9,29.326361720010304,Reject
3234,High Loan Amount,21.0,15.0,2.0,2.0,5.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,2253,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,9,36.79913775608078,Reject
3235,High Loan Amount,22.0,9.0,5.0,4.0,3.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,1995,6,Fresh_Graduate,yes,normal,5,1,condominium,Kedah,7,31.457789209693228,Reject
3236,Average Loan Amount,17.0,15.0,3.0,2.0,1.0,11.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,1478,3,government,yes,normal,4,2,bungalow,Penang,6,32.76735446143732,Reject
3237,Low Loan Amount,14.0,16.0,4.0,4.0,1.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,1230,2,Self_Employed,yes,gold,3,1,flat,Penang,8,30.44160525957128,Reject
3238,Low Loan Amount,13.0,15.0,2.0,2.0,5.0,11.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,2307,6,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,7,28.521257786986883,Reject
3239,Average Loan Amount,20.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2254,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,9,35.06565796463006,Reject
3240,Average Loan Amount,15.0,17.0,3.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,1547,6,Self_Employed,yes,normal,5,1,bungalow,Penang,6,32.08809531149641,Reject
3241,Low Loan Amount,10.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,989,7,Self_Employed,yes,normal,2,1,flat,Kuala Lumpur,8,24.275682530323337,Reject
3242,Average Loan Amount,21.0,16.0,4.0,3.0,2.0,10.0,3.0,High Salary,Low Sum of Loan,Average Income for Join Application,1339,7,government,no,normal,4,1,bungalow,Penang,6,37.96046816880271,Reject
3243,Low Loan Amount,17.0,8.0,4.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,395,4,government,no,normal,2,1,condominium,Selangor,9,25.6191937163408,Reject
3244,Average Loan Amount,13.0,18.0,3.0,2.0,1.0,13.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,1706,7,employee,no,normal,5,2,terrace,Johor,6,31.962227386115995,Reject
3245,Low Loan Amount,17.0,11.0,5.0,2.0,3.0,10.0,1.0,High Salary,Low Sum of Loan,Low Income for Join Application,601,4,employee,no,gold,2,1,condominium,Selangor,9,28.22881879777613,Reject
3246,Average Loan Amount,19.0,13.0,4.0,2.0,1.0,11.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,889,5,employee,no,normal,2,2,terrace,Kuala Lumpur,7,32.89798151212544,Reject
3247,Low Loan Amount,18.0,15.0,3.0,2.0,1.0,11.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,1605,4,Self_Employed,yes,normal,5,3,bungalow,Penang,7,33.963269693069726,Reject
3248,High Loan Amount,13.0,15.0,2.0,2.0,4.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,1050,1,Fresh_Graduate,yes,normal,3,2,flat,Kuala Lumpur,6,28.176887145143855,Reject
3249,Average Loan Amount,15.0,15.0,2.0,2.0,3.0,10.0,1.0,Low Salary,High Sum of Loan,High Income for Join Application,1020,1,Fresh_Graduate,no,normal,3,2,flat,Kuala Lumpur,6,30.161236281006893,Reject
3250,High Loan Amount,19.0,14.0,3.0,2.0,1.0,12.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,1773,7,employee,yes,gold,6,2,terrace,Kuala Lumpur,6,33.18088862258824,Reject
3251,Low Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,65,1,employer,no,gold,2,2,condominium,Johor,9,27.24858025771494,Reject
3252,Average Loan Amount,12.0,15.0,2.0,2.0,5.0,10.0,1.0,High Salary,High Sum of Loan,High Income for Join Application,2308,5,Fresh_Graduate,yes,normal,3,2,terrace,Kuala Lumpur,8,27.93662615395642,Reject
3253,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,450,3,government,no,normal,2,1,condominium,Selangor,7,30.0,Reject
3254,Average Loan Amount,18.0,19.0,3.0,2.0,4.0,10.0,2.0,High Salary,Average Sum of Loan,High Income for Join Application,1826,5,Fresh_Graduate,yes,normal,6,1,terrace,N.Sembilan,7,37.20966226413985,Reject
3255,Average Loan Amount,17.0,18.0,3.0,2.0,1.0,12.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,1711,7,employee,no,normal,5,2,terrace,Johor,6,35.67140708088011,Reject
3256,Low Loan Amount,11.0,14.0,3.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,1300,5,Self_Employed,yes,normal,4,1,bungalow,Penang,8,26.23317620933229,Reject
3257,Average Loan Amount,17.0,5.0,2.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,High Income for Join Application,31,1,employer,yes,normal,2,1,condominium,Johor,7,22.43091545547597,Reject
3258,High Loan Amount,18.0,8.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,143,6,employer,no,normal,2,3,condominium,Johor,7,27.191569876915064,Reject
3259,High Loan Amount,15.0,16.0,3.0,2.0,1.0,13.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,1778,7,employee,no,gold,6,1,terrace,Kuala Lumpur,8,32.32350039491148,Reject
3260,Average Loan Amount,17.0,14.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,946,7,Self_Employed,yes,normal,2,3,terrace,Kuala Lumpur,6,31.66278653618093,Reject
3261,High Loan Amount,18.0,18.0,3.0,2.0,1.0,13.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,1781,7,employee,no,gold,6,1,terrace,Kuala Lumpur,8,36.405091642075156,Reject
3262,Average Loan Amount,20.0,19.0,5.0,2.0,4.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,1889,5,Fresh_Graduate,no,normal,6,2,terrace,N.Sembilan,6,39.0,Reject
3263,Low Loan Amount,22.0,5.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,59,1,employer,no,normal,2,2,condominium,Johor,9,27.935383320155914,Reject
3264,Average Loan Amount,14.0,15.0,2.0,2.0,5.0,11.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,1192,6,Fresh_Graduate,yes,normal,3,1,flat,Penang,8,29.42633209287033,Reject
3265,Average Loan Amount,17.0,18.0,3.0,2.0,1.0,13.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,1717,7,employee,no,normal,5,3,terrace,Johor,9,35.48563427060056,Reject
3266,Average Loan Amount,14.0,10.0,2.0,2.0,1.0,12.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,542,6,Self_Employed,yes,normal,2,1,condominium,Selangor,6,24.32925568327157,Reject
3267,Average Loan Amount,15.0,15.0,2.0,2.0,5.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,2258,1,Fresh_Graduate,yes,normal,3,3,terrace,Kuala Lumpur,9,30.41563950614997,Reject
3268,High Loan Amount,19.0,14.0,4.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2156,7,Self_Employed,no,normal,2,1,flat,Kuala Lumpur,8,34.49800150493586,Reject
3269,Average Loan Amount,14.0,13.0,4.0,2.0,1.0,13.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,2040,5,employee,yes,normal,2,2,flat,Kuala Lumpur,7,27.862134946037663,Reject
3270,Low Loan Amount,11.0,6.0,2.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,2169,7,Self_Employed,yes,gold,2,1,bungalow,Kuala Lumpur,6,18.19390222360141,Reject
3271,Low Loan Amount,15.0,16.0,4.0,4.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,1234,2,Self_Employed,yes,gold,3,2,flat,Penang,8,31.7456004746251,Reject
3272,Average Loan Amount,13.0,15.0,2.0,2.0,2.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,2218,1,Fresh_Graduate,yes,normal,3,2,flat,Kuala Lumpur,8,28.270679215719163,Reject
3273,High Loan Amount,12.0,15.0,2.0,2.0,5.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,1051,1,Fresh_Graduate,yes,normal,3,3,flat,Kuala Lumpur,9,27.243477968404868,Reject
3274,High Loan Amount,21.0,17.0,4.0,2.0,1.0,12.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,1457,3,government,yes,normal,4,1,bungalow,Penang,9,38.213685183287744,Reject
3275,Average Loan Amount,18.0,17.0,3.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,1620,4,Self_Employed,yes,normal,5,3,bungalow,Penang,9,36.24274371194507,Reject
3276,Average Loan Amount,11.0,16.0,4.0,5.0,2.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,1957,7,Fresh_Graduate,no,normal,6,1,condominium,Sarawak,6,28.526731800662624,Reject
3277,Low Loan Amount,18.0,12.0,4.0,2.0,3.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,744,6,employee,no,normal,2,3,condominium,Kuala Lumpur,6,30.71913046329389,Reject
3278,Low Loan Amount,16.0,16.0,3.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,1625,4,employee,yes,normal,5,2,terrace,Penang,8,33.60760627847152,Reject
3279,Low Loan Amount,20.0,16.0,2.0,2.0,5.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,1063,1,Fresh_Graduate,yes,normal,3,1,flat,Kuala Lumpur,6,37.087555618702105,Reject
3280,Low Loan Amount,21.0,15.0,2.0,2.0,4.0,11.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,1164,6,Fresh_Graduate,yes,normal,3,2,flat,Kuala Lumpur,7,36.334274979109516,Reject
3281,Low Loan Amount,10.0,14.0,3.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,2194,7,Self_Employed,yes,normal,2,2,flat,Kuala Lumpur,8,24.51074764828769,Reject
3282,High Loan Amount,15.0,16.0,6.0,3.0,4.0,11.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,1941,7,Fresh_Graduate,no,normal,6,2,condominium,Sabah,6,32.02392356137767,Reject
3283,High Loan Amount,19.0,17.0,4.0,2.0,1.0,12.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,1436,3,government,yes,normal,4,1,bungalow,Penang,8,36.48548027271936,Reject
3284,Low Loan Amount,15.0,16.0,3.0,4.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,1293,2,Self_Employed,yes,gold,4,2,bungalow,Penang,7,31.95558269181836,Reject
3285,Average Loan Amount,13.0,16.0,4.0,4.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,1224,2,Self_Employed,no,gold,3,2,flat,Penang,9,29.229250578314154,Reject
3286,Low Loan Amount,20.0,14.0,4.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,2178,7,Self_Employed,no,normal,2,1,bungalow,Kuala Lumpur,6,34.0,Reject
3287,Average Loan Amount,17.0,15.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,2117,7,Self_Employed,yes,normal,2,3,flat,Kuala Lumpur,8,32.20904334548653,Reject
3288,High Loan Amount,21.0,13.0,3.0,2.0,5.0,11.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,2343,6,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,7,35.0,Reject
3289,High Loan Amount,12.0,19.0,6.0,4.0,4.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,1975,7,Fresh_Graduate,no,normal,6,2,condominium,Kedah,7,31.343511271360757,Reject
3290,Low Loan Amount,20.0,16.0,3.0,4.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,1332,7,government,no,gold,4,1,bungalow,Penang,9,36.349735608142595,Reject
3291,High Loan Amount,17.0,15.0,2.0,2.0,3.0,11.0,2.0,Low Salary,High Sum of Loan,High Income for Join Application,2324,6,Fresh_Graduate,no,normal,3,2,terrace,Kuala Lumpur,6,32.513643689617055,Reject
3292,Average Loan Amount,15.0,14.0,4.0,2.0,1.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,947,7,Self_Employed,yes,normal,2,2,terrace,Kuala Lumpur,6,29.159046729544947,Reject
3293,High Loan Amount,20.0,11.0,5.0,3.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,629,4,employee,yes,normal,2,1,condominium,Selangor,7,32.2506221620988,Reject
3294,Low Loan Amount,12.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,152,6,employer,no,normal,2,1,condominium,Johor,7,18.361788166192184,Reject
3295,High Loan Amount,22.0,14.0,4.0,2.0,1.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,2120,7,Self_Employed,yes,normal,2,3,flat,Kuala Lumpur,8,36.110609083871154,Reject
3296,Average Loan Amount,19.0,13.0,4.0,2.0,1.0,13.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,891,5,employee,no,normal,2,2,terrace,Kuala Lumpur,7,33.64814102981072,Reject
3297,Low Loan Amount,15.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,138,6,employer,no,normal,2,2,condominium,Johor,7,21.764918880912198,Reject
3298,Low Loan Amount,11.0,14.0,4.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,2131,7,Self_Employed,yes,normal,2,1,flat,Kuala Lumpur,8,25.317080439718822,Reject
3299,High Loan Amount,12.0,14.0,3.0,2.0,2.0,10.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,755,6,employee,yes,normal,2,3,condominium,Kuala Lumpur,7,26.97655054200026,Reject
3300,Average Loan Amount,21.0,14.0,4.0,2.0,5.0,10.0,2.0,Low Salary,Average Sum of Loan,High Income for Join Application,1016,1,Fresh_Graduate,yes,normal,3,2,flat,Kuala Lumpur,6,35.77309234977447,Reject
3301,Low Loan Amount,14.0,5.0,2.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,High Income for Join Application,2,1,employer,no,normal,2,2,condominium,Johor,7,19.952169179605896,Reject
3302,Low Loan Amount,10.0,9.0,3.0,2.0,2.0,10.0,3.0,High Salary,High Sum of Loan,Average Income for Join Application,390,7,government,no,normal,2,1,condominium,Selangor,7,20.30417478589964,Reject
3303,High Loan Amount,18.0,17.0,4.0,2.0,1.0,12.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,1458,3,government,no,normal,4,1,bungalow,Penang,9,35.03034194014529,Reject
3304,Average Loan Amount,19.0,5.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,35,1,employer,yes,normal,2,2,condominium,Johor,7,24.613248739425764,Reject
3305,Low Loan Amount,20.0,5.0,2.0,2.0,2.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,5,1,employer,no,normal,2,1,condominium,Johor,8,25.010652790637938,Reject
3306,Average Loan Amount,17.0,15.0,3.0,2.0,1.0,11.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,1528,6,Self_Employed,yes,normal,5,2,bungalow,Penang,8,33.0,Reject
3307,High Loan Amount,21.0,10.0,2.0,3.0,1.0,12.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,561,6,Self_Employed,no,gold,2,2,condominium,Selangor,9,31.0,Reject
